"Density_kg/m, Experimental","Density_kg/m, Prediction on epsilon=0.0001","Density_kg/m, Prediction on epsilon=0.01",Salt Name,Temperature_K,Pressure_kPa
7.154537228861746,7.154653568277193,7.1544968746349165,1-ethyl-3-methylimidazolium methylsulfate,333.15,7500.0
7.154537228861746,7.154640860248558,7.154483004195498,1-ethyl-3-methylimidazolium ethyl sulfate,363.15,45000.0
6.9926477460001,6.993968608819595,6.998040127508997,1-ethyl-3-methylimidazolium ethyl sulfate,353.15,24990.0
7.1091438984933175,7.110309451236227,7.101599718839398,1-ethyl-3-methylimidazolium bis[(trifluoromethyl)sulfonyl]imide,313.16,89994.0
7.112009545775641,7.111725955181544,7.121738614027913,1-ethyl-3-methylimidazolium tetrafluoroborate,303.15,15000.0
7.115988217560592,7.111450457881632,7.120695271767114,1-ethyl-3-methylimidazolium ethyl sulfate,333.15,25000.0
7.058328137461511,7.061211601774223,7.069876572475422,1-ethyl-3-methylimidazolium tetrafluoroborate,313.2,80000.0
7.157190164250415,7.15751734132373,7.157369963020351,1-ethyl-3-methylimidazolium trifluoromethanesulfonate,291.917,41361.0
7.163946684342547,7.159142698260122,7.152870223850657,1-ethyl-3-methylimidazolium ethyl sulfate,393.14,99376.0
7.113321245755551,7.113038570243626,7.123061631901818,1-ethyl-3-methylimidazolium tetrafluoroborate,326.257,1166.5
7.220300681158608,7.221101044761073,7.214864191974616,1-ethyl-3-methylimidazolium methylsulfate,318.15,101.325
7.185992892605918,7.186286152929376,7.175019518559194,1-ethyl-3-methylimidazolium tetrafluoroborate,352.7,120000.0
7.319202458767849,7.318685600043442,7.312728025122474,1-ethyl-3-methylimidazolium tetrafluoroborate,308.15,2000.0
7.239214973779806,7.255218475373355,7.251017685284988,1-ethyl-3-methylimidazolium bis[(trifluoromethyl)sulfonyl]imide,328.15,101.325
7.102441740946222,7.102636649958107,7.112575970454114,1-ethyl-3-methylimidazolium bis[(trifluoromethyl)sulfonyl]imide,312.64,101.325
7.148345743900068,7.148718370393397,7.14256516290339,1-ethyl-3-methylimidazolium acetate,318.15,101.325
7.335718724099194,7.336037120760984,7.331106224981516,1-ethyl-3-methylimidazolium ethyl sulfate,413.15,10000.0
7.015622649851144,7.015715948691277,7.02426357227063,1-ethyl-3-methylimidazolium ethyl sulfate,298.16,120082.0
6.983511891381384,6.983736767003777,6.9924880660413065,1-ethyl-3-methylimidazolium thiocyanate,283.15,101.325
7.154490349100512,7.154346358445927,7.148425712395753,1-ethyl-3-methylimidazolium ethyl sulfate,313.15,10000.0
7.130906830264347,7.132223709330087,7.13317435705269,1-ethyl-3-methylimidazolium tetrafluoroborate,372.8,50000.0
7.101346428034322,7.101693968599354,7.105263657897918,1-ethyl-3-methylimidazolium ethyl sulfate,298.15,15000.0
7.131778443323355,7.124998865554007,7.135114416688303,1-ethyl-3-methylimidazolium thiocyanate,328.15,101.325
7.106474981585728,7.107149154192739,7.110302327893194,1-ethyl-3-methylimidazolium ethyl sulfate,293.15,1990.0
7.232154934369081,7.227747838592962,7.223933101258832,1-ethyl-3-methylimidazolium ethyl sulfate,333.15,30000.0
7.154771594707903,7.1534974653594485,7.153948048107257,1-ethyl-3-methylimidazolium tetrafluoroborate,301.15,101.0
7.223806125484361,7.224186674692192,7.217657801682003,1-ethyl-3-methylimidazolium tetrafluoroborate,333.15,101.325
7.133056500850146,7.126964877371564,7.135837488318638,1-ethyl-3-methylimidazolium methylsulfate,393.15,30000.0
7.2682230211595655,7.30132848724324,7.297166388403578,1-ethyl-3-methylimidazolium bis[(trifluoromethyl)sulfonyl]imide,293.15,30000.0
7.101923058059773,7.101693968599354,7.105263657897918,1-ethyl-3-methylimidazolium tetrafluoroborate,332.6,160000.0
7.104636987107422,7.104425879377378,7.107788794440417,1-ethyl-3-methylimidazolium methylsulfate,318.15,101.325
7.321188556739478,7.321296677578489,7.316229266919587,1-ethyl-3-methylimidazolium ethyl sulfate,333.15,25000.0
7.116394144093465,7.116563061431377,7.115132667612205,1-ethyl-3-methylimidazolium hexafluorophosphate,352.7,80000.0
7.217810202285643,7.217745753778075,7.2098384579509185,1-ethyl-3-methylimidazolium ethyl sulfate,355.15,101.325
7.244441778361732,7.244115501314497,7.235473122207086,1-ethyl-3-methylimidazolium ethyl sulfate,293.15,5000.0
7.115882649666127,7.115429186660909,7.1179162394686095,1-ethyl-3-methylimidazolium hexafluorophosphate,352.7,30000.0
7.325399256009168,7.325365093238044,7.319754047654257,1-ethyl-3-methylimidazolium methylsulfate,373.15,5000.0
7.125532457037622,7.126060120224449,7.135947299099593,1-ethyl-3-methylimidazolium ethyl sulfate,353.15,101.325
7.088967887787166,7.090837631781892,7.095280306579402,1-ethyl-3-methylimidazolium ethyl sulfate,333.15,15000.0
7.251203129339776,7.25247647762211,7.2659724248680355,1-ethyl-3-methylimidazolium tetrafluoroborate,353.15,101.325
7.136244516621099,7.134731796709755,7.131284286494662,1-ethyl-3-methylimidazolium ethyl sulfate,288.15,101.325
7.15796910181901,7.157562358255135,7.1574137902069115,1-ethyl-3-methylimidazolium ethyl sulfate,283.15,101.325
7.140453043101158,7.135101355226653,7.134231174203832,1-ethyl-3-methylimidazolium ethyl sulfate,324.15,101.325
7.163327297515685,7.1604363768264205,7.160273556479398,1-ethyl-3-methylimidazolium ethyl sulfate,414.95,1000.0
7.164024080728175,7.1630452077515745,7.153986412637371,1-ethyl-3-methylimidazolium acetate,348.15,101.325
6.989980219237807,6.988441375061833,6.993439795799486,1-ethyl-3-methylimidazolium ethyl sulfate,293.17,69997.0
7.308676747040429,7.3060754709746805,7.314952182926177,1-ethyl-3-methylimidazolium thiocyanate,298.1,101.325
7.154615356913663,7.154805145724909,7.150823313997207,1-ethyl-3-methylimidazolium hexafluorophosphate,352.7,40000.0
7.138819379764082,7.139032489259231,7.148761294536563,1-ethyl-3-methylimidazolium trifluoromethanesulfonate,292.62,61503.0
7.1364036509307915,7.137814249532355,7.137110740195912,1-ethyl-3-methylimidazolium ethyl sulfate,302.61,101.325
7.214504414151143,7.21490721844459,7.2092938019173,1-ethyl-3-methylimidazolium bis[(trifluoromethyl)sulfonyl]imide,333.15,3000.0
7.315883504509785,7.316382617508551,7.311126012778014,1-ethyl-3-methylimidazolium ethyl sulfate,433.15,50000.0
7.084226422097916,7.077344994621366,7.133013902321617,1-ethyl-3-methylimidazolium ethyl sulfate,333.15,101.325
7.092764886395379,7.093193992486929,7.101663946069443,1-ethyl-3-methylimidazolium acetate,363.15,101.325
7.107720270948687,7.108365988442041,7.1177128668107885,1-ethyl-3-methylimidazolium acetate,353.15,101.325
7.116150607947438,7.115988791943386,7.118429007885002,1-ethyl-3-methylimidazolium ethyl sulfate,338.15,25000.0
7.297158753542951,7.295434217337488,7.288197227876397,1-ethyl-3-methylimidazolium ethyl sulfate,343.15,101.325
7.238496840894365,7.239695986746564,7.231540644086202,1-ethyl-3-methylimidazolium ethyl sulfate,298.15,101.0
7.099036577147563,7.098969589818032,7.102742483573932,1-ethyl-3-methylimidazolium bis[(trifluoromethyl)sulfonyl]imide,293.15,10000.0
7.149053040876389,7.148918283950455,7.148669859452645,1-ethyl-3-methylimidazolium ethyl sulfate,320.15,101.325
7.309212365692763,7.30985480898539,7.306744992316761,1-ethyl-3-methylimidazolium tetrafluoroborate,333.15,10000.0
7.317345201667251,7.316456631253406,7.327543318532165,1-ethyl-3-methylimidazolium methylsulfate,305.15,101.325
7.293017679772782,7.3139627809487715,7.314584988488574,1-ethyl-3-methylimidazolium methanesulfonate,313.15,101.325
6.990808834117423,6.984647808471688,6.990221236020179,1-ethyl-3-methylimidazolium ethyl sulfate,298.15,2500.0
7.095893221097532,7.095709863103916,7.09972284520501,1-ethyl-3-methylimidazolium trifluoromethanesulfonate,303.15,25000.0
7.215975002651466,7.159142698260122,7.152870223850657,1-ethyl-3-methylimidazolium bis[(trifluoromethyl)sulfonyl]imide,353.15,101.325
7.105884565981605,7.107160644265492,7.110382235027055,1-ethyl-3-methylimidazolium ethyl sulfate,293.15,5000.0
7.144249314664485,7.144032858050329,7.147903092148237,1-ethyl-3-methylimidazolium ethyl sulfate,298.15,101.325
7.125122177518892,7.1253007048082075,7.131175567893106,1-ethyl-3-methylimidazolium bis[(trifluoromethyl)sulfonyl]imide,353.0,101.325
7.232660879231885,7.232564040292804,7.221842436655149,1-ethyl-3-methylimidazolium ethyl sulfate,316.15,101.325
7.106483179348558,7.107165616529646,7.110317510102115,1-ethyl-3-methylimidazolium bis[(trifluoromethyl)sulfonyl]imide,332.58,101.325
7.315351448099255,7.314595497613153,7.321270042617449,1-ethyl-3-methylimidazolium ethyl sulfate,323.15,25000.0
7.13289683295902,7.284994987781059,7.249072380960844,1-ethyl-3-methylimidazolium ethyl sulfate,391.39,101.325
7.20370309585095,7.202551041923386,7.1981192435881125,1-ethyl-3-methylimidazolium methylsulfate,329.15,101.325
7.106606137727303,7.1073936210092175,7.109967645934487,1-ethyl-3-methylimidazolium trifluoromethanesulfonate,393.15,1000.0
7.0015188087943,7.001782756041966,6.999691582471734,1-ethyl-3-methylimidazolium acetate,313.15,101.325
7.150701457592526,7.148918283950455,7.148669859452645,1-ethyl-3-methylimidazolium ethyl sulfate,298.15,101.325
7.013465733404251,7.014094507350243,7.010300009548511,1-ethyl-3-methylimidazolium trifluoromethanesulfonate,306.751,10122.0
7.1471658027602185,7.147427949919399,7.145743500332496,1-ethyl-3-methylimidazolium bis[(trifluoromethyl)sulfonyl]imide,333.15,10000.0
7.1772479222337076,7.177357066294413,7.166524478678848,1-ethyl-3-methylimidazolium trifluoromethanesulfonate,353.15,5000.0
7.057639728519429,7.058819460951933,7.065753873415071,1-ethyl-3-methylimidazolium trifluoromethanesulfonate,328.15,101.325
7.123672785204607,7.120991972754649,7.123001440179286,1-ethyl-3-methylimidazolium ethyl sulfate,329.15,101.325
7.231214642809439,7.231477337036787,7.2320261855555215,1-ethyl-3-methylimidazolium tetrafluoroborate,323.15,50000.0
7.169426996001687,7.16920804356953,7.165706689765405,1-ethyl-3-methylimidazolium ethyl sulfate,353.15,101.325
7.093745099462516,7.094839850921566,7.104028584814361,1-ethyl-3-methylimidazolium thiocyanate,298.15,100.0
7.108571418412256,7.106089885477077,7.11713225139328,1-ethyl-3-methylimidazolium ethyl sulfate,391.39,10000.0
