name,smiles,steiger,Marsili Partial Charges,BalabanJ,BertzCT,Ipc,HallKierAlpha,Kappa1,Kappa2,Kappa3,Chi0,Chi1,Chi0n,Chi1n,Chi2n,Chi3n,Chi4n,Chi0v,Chi1v,Chi2v,Chi3v,Chi4v,MolLogP,MolMR,MolWt,HeavyAtomCount,HeavyAtomMolWt,NHOHCount,NOCount,NumHAcceptors,NumHDonors,NumHeteroatoms,NumRotatableBonds,NumValenceElectrons,RingCount,TPSA,LabuteASA,PEOE_VSA1,PEOE_VSA2,PEOE_VSA3,PEOE_VSA4,PEOE_VSA5,PEOE_VSA6,PEOE_VSA7,PEOE_VSA8,PEOE_VSA9,PEOE_VSA10,PEOE_VSA11,PEOE_VSA12,PEOE_VSA13,PEOE_VSA14,SMR_VSA1,SMR_VSA2,SMR_VSA3,SMR_VSA4,SMR_VSA5,SMR_VSA6,SMR_VSA7,SMR_VSA8,SMR_VSA9,SMR_VSA10,SlogP_VSA1,SlogP_VSA2,SlogP_VSA3,SlogP_VSA4,SlogP_VSA5,SlogP_VSA6,SlogP_VSA7,SlogP_VSA8,SlogP_VSA9,SlogP_VSA10,SlogP_VSA11,SlogP_VSA12,EState_VSA1,EState_VSA2,EState_VSA3,EState_VSA4,EState_VSA5,EState_VSA6,EState_VSA7,EState_VSA8,EState_VSA9,EState_VSA10,EState_VSA11,VSA_EState1,VSA_EState2,VSA_EState3,VSA_EState4,VSA_EState5,VSA_EState6,VSA_EState7,VSA_EState8,VSA_EState9,VSA_EState10,Topliss fragments
"N,N,N-triethyl-1-decanaminium",C(CCCCCCCC[N+](CC)(CC)CC)C,777.0,777.0,3.427100725702943,141.3395058466886,5283.102752979818,-0.04,16.96,11.073461738781058,7.806972502118467,12.985281374238573,8.242640687119287,12.93249496973853,8.09333818881354,5.488804616453281,4.498470102376759,2.7262591142583346,12.93249496973853,8.09333818881354,5.488804616453281,4.498470102376759,2.7262591142583346,5.003600000000005,79.36040000000008,242.47099999999995,17.0,206.18299999999996,0.0,1.0,0.0,0.0,1.0,12.0,104.0,0.0,0.0,110.18318790057737,4.483030857694624,0.0,0.0,0.0,0.0,45.448666937246685,33.61285484492389,0.0,26.1790256236503,0.0,0.0,0.0,0.0,0.0,4.483030857694624,0.0,0.0,0.0,79.06152178217057,26.1790256236503,0.0,0.0,0.0,0.0,0.0,30.662056481344926,0.0,0.0,79.06152178217057,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,82.02862946475302,0.0,0.0,27.694948798762496,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.3292011019283747,26.170798898071624,0.0,777.0
"N,N,N-triethyldodecan-1-aminium",CCCCCCCCCCCC[N+](CC)(CC)CC,777.0,777.0,3.3470032828100362,164.26443401847058,14279.594448781314,-0.04,18.96,12.966923666973225,9.486531099764102,14.399494936611669,9.242640687119286,14.346708532111627,9.09333818881354,6.19591139763983,4.99847010237676,3.0798125048516076,14.346708532111627,9.09333818881354,6.19591139763983,4.99847010237676,3.0798125048516076,5.7838000000000065,88.59440000000009,270.5249999999999,19.0,230.20499999999996,0.0,1.0,0.0,0.0,1.0,14.0,116.0,0.0,0.0,122.9130721293706,4.483030857694624,0.0,0.0,0.0,0.0,58.29031018309871,33.61285484492389,0.0,26.1790256236503,0.0,0.0,0.0,0.0,0.0,4.483030857694624,0.0,0.0,0.0,91.9031650280226,26.1790256236503,0.0,0.0,0.0,0.0,0.0,30.662056481344926,0.0,0.0,91.9031650280226,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,94.87027271060506,0.0,0.0,27.694948798762496,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.3303747534516766,29.16962524654832,0.0,777.0
"N,N,N-triethyltetradecan-1-aminium",CCCCCCCCCCCCCC[N+](CC)(CC)CC,777.0,777.0,3.288684226653885,187.75043269415738,38444.714608602044,-0.04,20.96,14.878958463973246,11.215007650480349,15.813708498984765,10.242640687119286,15.760922094484723,10.09333818881354,6.903018178826378,5.498470102376761,3.433365895444882,15.760922094484723,10.09333818881354,6.903018178826378,5.498470102376761,3.433365895444882,6.564000000000007,97.82840000000009,298.579,21.0,254.22699999999995,0.0,1.0,0.0,0.0,1.0,16.0,128.0,0.0,0.0,135.64295635816384,4.483030857694624,0.0,0.0,0.0,0.0,71.13195342895074,33.61285484492389,0.0,26.1790256236503,0.0,0.0,0.0,0.0,0.0,4.483030857694624,0.0,0.0,0.0,104.74480827387463,26.1790256236503,0.0,0.0,0.0,0.0,0.0,30.662056481344926,0.0,0.0,104.74480827387463,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,107.71191595645709,0.0,0.0,27.694948798762496,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.3311111111111111,32.16888888888889,0.0,777.0
N-methyl-2-hydroxyethylammonium,OCC[NH2+]C,777.0,777.0,2.19060968716425,14.364527976600282,11.245112497836532,-0.08,4.920000000000001,3.9200000000000004,3.92,4.121320343559642,2.414213562373095,3.4387774270626785,1.8018263256703264,0.9205302228086548,0.4177745794683934,0.12909944487358055,3.4387774270626785,1.8018263256703264,0.9205302228086548,0.4177745794683934,0.12909944487358055,-1.8280999999999996,19.8022,76.119,5.0,66.039,3.0,2.0,1.0,2.0,2.0,2.0,32.0,0.0,36.84,31.81323119242682,10.423315998847038,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.199310353102682,0.0,0.0,0.0,0.0,0.0,10.423315998847038,0.0,0.0,0.0,0.0,20.199310353102682,0.0,0.0,0.0,0.0,5.316788604006331,25.30583774794339,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.606881964512918,0.0,6.544756405912575,0.0,0.0,12.36446058668352,0.0,5.106527394840706,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.0,0.0,777.0
butyltrimethylammonium,CCCC[N+](C)(C)C,777.0,777.0,3.1117661943884265,51.897390567231454,36.61600302409073,-0.04,7.96,3.079539221938775,5.959999999999999,6.621320343559642,3.5606601717798214,6.5685339390596,3.364975333703259,3.36748427289364,1.1824876668516293,0.6324555320336757,6.5685339390596,3.364975333703259,3.36748427289364,1.1824876668516293,0.6324555320336757,1.4927000000000001,37.807399999999994,116.22799999999998,8.0,98.08399999999999,0.0,1.0,0.0,0.0,1.0,3.0,50.0,0.0,0.0,52.898708871007884,4.483030857694624,0.0,0.0,0.0,0.0,13.344558822616634,6.4208216229260096,0.0,27.687772353944144,0.0,0.0,0.0,0.0,0.0,4.483030857694624,0.0,0.0,0.0,19.765380445542643,27.687772353944144,0.0,0.0,0.0,0.0,0.0,32.17080321163877,0.0,0.0,19.765380445542643,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.483030857694624,19.386399651764595,0.0,0.0,28.066753147722196,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.105,12.894999999999998,0.0,777.0
tributylmethylammonium,CCCC[N+](C)(CCCC)CCCC,777.0,777.0,3.889782594894758,98.62953293041048,1049.4439443432075,-0.04,13.959999999999999,8.28331493608625,6.419321112985788,10.86396103067893,6.681980515339465,10.811174626178888,6.517217237110113,4.850984256330207,3.154505512105528,1.9549138879254186,10.811174626178888,6.517217237110113,4.850984256330207,3.154505512105528,1.9549138879254186,3.833300000000003,65.50940000000007,200.38999999999993,14.0,170.14999999999998,0.0,1.0,0.0,0.0,1.0,9.0,86.0,0.0,0.0,91.08836155738754,4.483030857694624,0.0,0.0,0.0,0.0,40.0336764678499,19.26246486877803,0.0,26.681941200414915,0.0,0.0,0.0,0.0,0.0,4.483030857694624,0.0,0.0,0.0,59.296141336627926,26.681941200414915,0.0,0.0,0.0,0.0,0.0,31.16497205810954,0.0,0.0,59.296141336627926,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,62.642229812988404,0.0,0.0,27.818883581749063,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.315,21.685000000000002,0.0,777.0
triethylsulfonium,CC[S+](CC)CC,777.0,777.0,2.9923028831940863,25.651484454403228,34.3994618804395,0.35,7.349999999999998,4.507480314960629,2.979921259842519,5.698670612749268,3.3460652149512318,5.529568634023505,2.987345747344081,1.4783978394802333,1.2247448713915892,0.6123724356957945,6.346065214951231,4.719396554912958,4.435193518440698,3.674234614174766,1.8371173070873832,1.6643999999999999,38.98800000000001,119.253,7.0,104.13299999999998,0.0,0.0,0.0,0.0,1.0,3.0,44.0,0.0,0.0,49.65511498714136,0.0,0.0,0.0,0.0,0.0,0.0,31.66619234984111,0.0,0.0,17.258560820240366,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.771211599071872,17.258560820240366,0.0,0.0,0.0,10.894980750769237,0.0,17.258560820240366,10.894980750769237,0.0,20.771211599071872,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.894980750769237,17.258560820240366,0.0,0.0,20.771211599071872,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.967592592592592,0.7546296296296294,777.0
diethylmethylsulfonium,[S+](C)(CC)(CC),777.0,777.0,2.7541847860376616,23.11941547876375,19.800269059780252,0.35,6.35,3.536915887850467,2.579885057471264,4.99156383156272,2.808060412490447,4.822461852836958,2.399812122026584,1.3588246836111832,0.9855985596534889,0.2041241452319315,5.638958433764683,4.37100924133356,4.076474050833548,2.9567956789604657,0.6123724356957944,1.2743,34.370999999999995,105.226,6.0,92.12199999999999,0.0,0.0,0.0,0.0,1.0,2.0,38.0,0.0,0.0,43.29017287274473,0.0,0.0,0.0,0.0,0.0,0.0,24.742455150150487,0.0,6.255769183511404,11.505707213493578,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.847474399381248,17.761476397004984,0.0,0.0,0.0,10.894980750769237,0.0,17.761476397004984,10.894980750769237,0.0,13.847474399381248,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.894980750769237,0.0,11.505707213493578,0.0,0.0,20.103243582892652,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.506172839506172,0.7160493827160491,777.0
3-cyano-1-octylpyridinium,CCCCCCCC[n+]1cccc(c1)C#N,777.0,777.0,2.1920821639863717,338.83373249072963,4747.551651289494,-1.36,12.708306010928961,7.870491863905325,4.929027243087918,11.639981912617825,7.863703305156274,10.153575736064255,6.257356060303979,4.210025920793022,2.7571988936436673,1.801893411722262,10.153575736064255,6.257356060303979,4.210025920793022,2.7571988936436673,1.801893411722262,3.2062800000000022,64.72800000000005,217.33600000000004,16.0,196.16799999999998,0.0,2.0,1.0,0.0,2.0,7.0,86.0,1.0,27.669999999999998,98.538081298077,0.0,0.0,4.567099647791355,5.261891554738487,0.0,32.60702369139466,12.487188691387619,12.487188691387619,0.0,18.177429210401844,12.393687143226153,0.0,0.0,0.0,4.567099647791355,5.261891554738487,0.0,0.0,51.99342334315926,0.0,30.089872771846366,0.0,6.069221312792274,0.0,4.567099647791355,0.0,6.544756405912575,11.33111286753076,51.01211842894368,24.52642128014937,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.10820789760957,38.524929737556064,0.0,24.52642128014937,17.560058160274252,5.261891554738487,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.1094980631141347,30.557168603552533,0.0,777.0
1-butyl-3-cyanopyridinium,CCCC[n+]1cccc(c1)C#N,777.0,777.0,2.6771046093671766,286.13520798339584,638.4815420849876,-1.36,8.733984962406016,4.5041243390482295,2.352980381617845,8.811554787871634,5.863703305156274,7.325148611318063,4.25735606030398,2.795812358419927,1.7571988936436673,1.067873809965781,7.325148611318063,4.25735606030398,2.795812358419927,1.7571988936436673,1.067873809965781,1.64588,46.26000000000003,161.22799999999998,12.0,148.124,0.0,2.0,1.0,0.0,2.0,3.0,62.0,1.0,27.669999999999998,73.07831284049055,0.0,0.0,4.567099647791355,5.261891554738487,0.0,13.344558822616634,6.06636706846161,12.487188691387619,0.0,18.177429210401844,12.393687143226153,0.0,0.0,0.0,4.567099647791355,5.261891554738487,0.0,0.0,26.31013685145522,0.0,30.089872771846366,0.0,6.069221312792274,0.0,4.567099647791355,0.0,6.544756405912575,11.33111286753076,25.328831937239638,24.52642128014937,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.10820789760957,12.841643245852019,0.0,24.52642128014937,17.560058160274252,5.261891554738487,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0575925925925924,24.609074074074073,0.0,777.0
2-butyl-1-ethylpyridin-1-ium,CCCC[n+]1ccccc1CC,777.0,777.0,2.6804243440890785,230.2006512031586,651.2761644970788,-0.8500000000000001,9.23968609865471,4.914244097789473,2.330189592538988,8.811554787871634,5.880540057561881,8.085041797004653,4.85447554107516,3.0924766103939154,2.149455366145777,1.3792290498596906,8.085041797004653,4.85447554107516,3.0924766103939154,2.149455366145777,1.3792290498596906,2.3366000000000007,50.92300000000004,164.27199999999993,12.0,146.128,0.0,1.0,0.0,0.0,1.0,4.0,66.0,1.0,3.88,75.05067527341845,0.0,0.0,4.567099647791355,0.0,0.0,26.334663090768867,0.0,24.974377382775238,0.0,6.544756405912575,11.890771566461538,0.0,0.0,0.0,4.567099647791355,0.0,0.0,0.0,39.654695674071846,0.0,30.089872771846366,0.0,0.0,0.0,4.567099647791355,0.0,12.965578028838586,0.0,32.38304564008173,24.395944776997904,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.4208216229260096,25.080327646613057,0.0,0.0,42.810518824170515,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.3506944444444446,19.31597222222222,0.0,777.0
