"Normal melting temperature, K",salt_name
318.6,3-methyl-1-(naphthalen-2-ylmethyl)-1H-imidazol-3-ium bis((trifluoromethyl)sulfonyl)amide
314.9,"1,3-dibenzyl-1H-imidazol-3-ium bis((trifluoromethyl)sulfonyl)amide"
439.95,tributylphenylphosphonium bromide
378.65,tetrabutylphosphonium bromide
439.65,dibutyldiphenylphosphonium bromide
359.1,1-(2-hydroxyethyl)-3-methyl-1H-imidazolium chloride
369.1,tetrabutylammonium tris[(trifluoromethyl)sulfonyl]methide
293.1,triethylhexylammonium bis((trifluoromethyl)sulfonyl)imide
299.1,tributylhexylammonium bis[(trifluoromethyl)sulfonyl]imide
378.1,tetrapropylammonium bis[(trifluoromethyl)sulfonyl]imide
397.1,4-dodecylpyridium chloride
345.1,"pyridinium, 4-(1-hexadecylheptadecyl)-1-methyl-, iodide"
337.1,"pyridinium, 4-(1-hexadecylheptadecyl)-1-methyl-, chloride"
323.9,4-dodecyl-1-methylpyridinium chloride
365.9,4-dodecyl-1-methylpyridinium perchlorate
386.15,4-dodecyl-1-methylpyridinium iodide
392.6,4-nonylpyridium chloride
365.4,4-dodecylpyridium iodide
425,1-butyl-1-methylpyrrolidinium tetrafluoroborate
424,1-butyl-1-methylpyrrolidinium tetrafluoroborate
364,1-ethyl-1-methylpyrrolidinium bis[(trifluoromethyl)sulfonyl]imide
477,1-butyl-1-methylpyrrolidinium bromide
339,1-ethyl-1-methylpyrrolidinium tetrafluoroborate
334.1,1-ethyl-3-methylimidazolium hexafluorophosphate
270.35,1-butyl-3-methylimidazolium bis(trifluoromethylsulfonyl)imide
272,1-hexyl-3-methylimidazolium bis[(trifluoromethyl)sulfonyl]imide
347.3,1-methylimidazolium chloride
365.1,1-propyl-3-methylpyridinium chloride
381.1,1-allyl-3-methylpyridinium chloride
337.1,1-decyl-3-methylpyridinium chloride
328.1,1-decyl-3-methylpyridinium chloride
337.1,1-nonyl-3-methylpyridinium chloride
347.1,1-octyl-3-methylpyridinium chloride
342.1,1-octyl-3-methylpyridinium chloride
345.1,1-heptyl-3-methylpyridinium chloride
350.1,1-hexyl-3-methylpyridinium chloride
335.1,1-hexyl-3-methylpyridinium chloride
365.1,1-pentyl-3-methylpyridinium chloride
370.1,1-butyl-3-methylpyridinium chloride
366.1,1-butyl-3-methylpyridinium chloride
444,tetrabutylammonium hydrogen sulfate
444.65,tetrabutylammonium hydrogen sulfate
311.1,"1-butyl-2,3-dimethylimidazolium tetrafluoroborate"
328.1,1-allyl-3-methylimidazolium chloride
314.1,1-butyl-3-methylimidazolium chloride
337.1,tetrabutylphosphonium chloride
364.1,"N,N,N-trihexyl-1-hexanaminium tetrafluoroborate"
363.1,"1-heptanaminium, N,N,N-triheptyl-, bromide"
299.1,1-dodecyl-3-methylimidazolium tetrafluoroborate
343.1,1-benzyl-3-methyl-1H-imidazolium chloride
339.1,1-methyl-3-octadecylimidazolium tetrafluoroborate
284.1,1-butyl-3-methylimidazolium hexafluorophosphate
288.1,1-methyl-3-oleylimidazolium tetrafluoroborate
333.1,1-dodecyl-3-methylimidazolium hexafluorophosphate
353.1,1-methyl-3-octadecylimidazolium hexafluorophosphate
353.1,1-ethyl-3-methylimidazolium chloride
311.1,1-ethyl-3-methylimidazolium nitrate
350.1,1-benzyl-3-methylimidazolium tetrafluoroborate
333.4,1-butyl-3-methylimidazolium chloride
359.1,1-methylimidazolium chloride
536.6,butyltriisoamylammonium tetraphenylborate
259.7,1-butyl-1-methylpyrrolidinium bis[(trifluoromethyl)sulfonyl]imide
287.9,1-isobutyl-1-methylpiperidinium bis((trifluoromethyl)sulfonyl)imide
262.6,1-hexyl-3-methylimidazolium bis[(trifluoromethyl)sulfonyl]imide
272.9,1-isobutyl-1-methylpyrrolidinium bis((trifluoromethyl)sulfonyl)imide
243.6,tetraoctylammonium oleate
267.2,methyltrioctylammonium oleate
523,1-methyl-1-propylpiperidinium bromide
330,"1-carboxy-N,N,N-trimethylmethanaminium bis((trifluoromethyl)sulfonyl)amide"
311.1,tributylmethylphosphonium methyl sulfate
335.1,"N,N-dibutyl-N-methyl-1-butanaminium methyl sulfate"
452.69,"(alphaR)-alpha-[(1S)-1-aminoethyl]-3-hydroxy-benzenemethanol (2R,3R)-2,3-dihydroxybutanedioate"
281.75,1-((nonyloxy)methyl)pyridinium N-cyclohexylsulfamate
345.55,1-butyl-3-methyl-1H-imidazolium N-cyclohexylsulfamate
