name,smiles
1-propylpyridinium,CCC[n+]1ccccc1
1-butyl-1-methylpyrrolidinium,CCCC[N+]1(CCCC1)C
N-octyl-3-methylpyridinium,CCCCCCCC[n+]1cccc(c1)C
1-octyl-3-methylimidazolium,CCCCCCCCn1cc[n+](c1)C
1-decyl-3-methylimidazolium,CCCCCCCCCCn1cc[n+](c1)C
"1-butyl-2,3-dimethyl-1H-imidazolium",CCCCn1cc[n+](c1C)C
1-ethylpyridinium,CC[n+]1ccccc1
3-ethyl-1-methylimidazolium,CCn1cc[n+](c1)C
tetradecyltrihexylphosphonium,C(CCCCCCCC[P+](CCCCCC)(CCCCCC)CCCCCC)CCCCC
tetradecyl(trihexyl)phosphonium,C(CCCCCCCC[P+](CCCCCC)(CCCCCC)CCCCCC)CCCCC
1-hexylpyridinium,CCCCCC[n+]1ccccc1
3-methyl-1-propylpyridinium,CCC[n+]1cccc(c1)C
"1,3-dipropyl-1H-imidazol-3-ium",c1c[n+](cn1CCC)CCC
1-methyl-3-pentylimidazolium,c1c[n+](cn1CCCCC)C
"1,3-dinonyl-1H-imidazol-3-ium",c1c[n+](cn1CCCCCCCCC)CCCCCCCCC
1-heptyl-3-methylimidazolium,c1c[n+](cn1CCCCCCC)C
1-methyl-3-nonylimidazolium,c1c[n+](cn1CCCCCCCCC)C
"N,N-dimethylethanamine",CC[NH+](C)C
1-ethyl-1H-imidazolium,CC[NH+]1C=CN=C1
1-benzyl-3-methyl-1H-imidazolium,C[NH+]1CN(C=C1)CC2=CC=CC=C2
"1,3-diethylimidazolium",c1c[n+](cn1CC)CC
2-hydroxy-N-methylethanaminium,OCC[NH2+]C
1-hexyl-4-methylpyridinium,CCCCCC[n+]1ccc(cc1)C
3-(cyanomethyl)-1-methyl-1H-imidazol-3-ium,C[n+]1ccn(c1)CC#N
1-(2-hydroxyethyl)-3-methylimidazolium,C[n+]1ccn(c1)CCO
1-octylpyridinium,CCCCCCCC[n+]1ccccc1
1-allyl-3-methylimidazolium,C[n+]1ccn(c1)CC=C
3-(2-hydroxyethyl)-1-methyl-1H-imidazol-3-ium,C[n+]1ccn(c1)CCO
1-(3-cyanopropyl)-3-methylimidazolium,N#CCCCn1cc[n+](c1)C
1-(2-chloroethyl)-3-methylimidazolium,C[n+]1ccn(c1)CCCl
1-nonyl-3-methylimidazolium,c1c[n+](cn1CCCCCCCCC)C
"1,3-dimethylimidazolium",Cn1cc[n+](c1)C
methyltrioctylammonium,CCCCCCCC[N+](C)(CCCCCCCC)CCCCCCCC
tetrahexylammonium,CCCCCC[N+](CCCCCC)(CCCCCC)CCCCCC
tetraoctylammonium,CCCCCCCC[N+](CCCCCCCC)(CCCCCCCC)CCCCCCCC
1-isobutyl-3-methylimidazolium,c1c[n+](cn1CC(C)C)C
1-butyl-1-methylpiperidinium,CCCC[N+]1(CCCCC1)C
1-(2-hydroxyethyl)-pyridinium,c1cc[n+](cc1)CCO
choline,C[N+](C)(C)CCO
3-butyl-1-(2-cyanoethyl)-1H-imidazol-3-ium,N#CCCn1cc[n+](c1)CCCC
"N,N-dimethylformamide",C[NH+](C)C=O
"N,N-dimethylpropionamidium",CCC(=O)[NH+](C)C
1-decylpyridinium,CCCCCCCCCC[n+]1ccccc1
1-dodecylpyridinium,CCCCCCCCCCCC[n+]1ccccc1
1-butyl-1-methylpyrrolidin-1-ium,CCCC[N+]1(CCCC1)C
4-ethyl-4-methylmorpholin-4-ium,CC[N+]1(CCOCC1)C
N-ethyl-N-methylpyrrolidinium,CC[N+]1(CCCC1)C
1-ethyl-1-methylpiperidin-1-ium,CC[N+]1(CCCCC1)C
N-hexyl-N-methylpyrrolidinium,CCCCCC[N+]1(CCCC1)C
1-butyl-1-methylpiperidin-1-ium,CCCC[N+]1(CCCCC1)C
4-methyl-4-octylmorpholin-4-ium,CCCCCCCC[N+]1(CCOCC1)C
N-methyl-N-octylpyrrolidinium,CCCCCCCC[N+]1(CCCC1)C
1-methyl-1-propylpyrrolidinium,CCC[N+]1(CCCC1)C
1-ethyl-3-methylpyridinium,CC[n+]1cccc(c1)C
1-ethyl-2-methylpyridinium,CC[n+]1ccccc1C
2-octylisoquinolinium,CCCCCCCC[n+]1ccc2ccccc2c1
1-methylpyridinium,C[n+]1ccccc1
"1,3-dimethylpyridinium",Cc1ccc[n+](c1)C
1-ethyl-1-methylpiperidinium,CC[N+]1(CCCCC1)C
tetrabutylammonium,CCCC[N+](CCCC)(CCCC)CCCC
"1H-Imidazolium,",c1c[nH+]c[nH]1
3-(ethoxycarbonyl)-1-ethylpyridinium,O=C(OCC)c1ccc[n+](c1)CC
N-hexylisoquinolinium,CCCCCC[n+]1ccc2ccccc2c1
"N,N-dibutyl-N-methyl-1-butanaminium",CCCC[N+](C)(CCCC)CCCC
pyrrolidinium,C1CC[NH2+]C1
1-undecyl-3-methylimidazolium,CCCCCCCCCCC[n+]1ccn(c1)C
1-(3-methylbutyl)-3-methylimidazolium,c1c[n+](cn1CCC(C)C)C
1-(4-methylpentyl)-3-methylimidazolium,CC(C)CCCn1cc[n+](c1)C
4-ethyl-4-methylmorpholinium,CC[N+]1(CCOCC1)C
1-ethyl-1-methylpyrrolidinium,CC[N+]1(CCCC1)C
(3-carboxypropyl)trimethylammonium,C[N+](C)(C)CCCC(=O)O
"2-ethyl-1,1,3,3-tetramethylguanidinium",CC[NH+]=C(N(C)C)N(C)C
N-methyl-N-propylpropan-1-aminium,CCC[NH+](C)CCC
"N,N-dimethylpropan-1-aminium",CCC[NH+](C)C
"N,N-dimethylprop-2-en-1-aminium",C=C\C[NH+](C)C
diethylmethylammonium,[NH3+]C(CC)CC
"N,N-diethylprop-2-en-1-aminium",CC[NH+](CC)CC=C
"N,N-diethylpropan-1-aminium",CCC[NH+](CC)CC
1-butyl-4-cyanopyridinium,CCCC[n+]1ccc(cc1)C#N
"N,N-dimethylacetamidium",CC(=[N+](C)C)O
ethylammonium,CC[NH3+]
"1,1,3,3-tetramethylguanidinium",CN(C)C(=[N+](C)C)N
tributyl(octadecyl)phosphonium,CCCCCCCCCCCCCCCCCC[P+](CCCC)(CCCC)CCCC
diethylammonium,CC[NH2+]CC
3-hexyl-1-methyl-1H-imidazolium,CCCCCC[n+]1cc[n](c1)C
"N-methyl-N,N-dioctyl-1-octanaminium",CCCCCCCC[N+](C)(CCCCCCCC)CCCCCCCC
3-(3-cyanopropyl)-1-methylimidazolium,N#CCCCn1cc[n+](c1)C
n-butylammonium,CCCC[NH3+]
3-butyl-1-methylimidazolium,CCCCn1cc[n+](c1)C
N-allyl-N-methylprop-2-en-1-aminium,C[NH+](CC=C)CC=C
2-hydroxy-N-(2-hydroxyethyl)-N-methylethanaminium,OCC[NH+](C)CCO
trimethylammonium,C[NH+](C)C
"N,N,N-trimethylpropanaminium",CCC[N+](C)(C)C
triethylammonium,CC[NH+](CC)CC
1-dodecyl-3-methylimidazolium,CCCCCCCCCCCCn1cc[n+](c1)C
1-(2-methoxyethyl)-3-methyl-imidazolium,O(C)CCn1cc[n+](c1)C
3-(2-hydroxyethyl)-1-methylimidazolium,C[n+]1ccn(c1)CCO
2-hydroxypropanaminium,CC(C[NH3+])O
methanaminium,C[NH3+]
1-ethyl-2-pentylpyridin-1-ium,CC[n+]1cccc(c1(CCCCC))
3-(2-cyanoethyl)-1-hexyl-1H-imidazolium,C1=C[N+](CCC#N)=CN1CCCCCC
3-(2-cyanoethyl)-1-octyl-1H-imidazol-3-ium,C1=C[N+](CCC#N)=CN1CCCCCCCC
3-(2-cyanoethyl)-1-octylimidazolium,C1=C[N+](CCC#N)=CN1CCCCCCCC
1-hexyl-1-methylpiperidin-1-ium,CCCCCC[N+]1(CCCCC1)C
1-methyl-1-octylpiperidin-1-ium,C[N+]1(CCCCC1)CCCCCCCC
4-butyl-4-methylmorpholin-4-ium,C[N+]1(CCOCC1)CCCC
1-isobutyl-1-methylpiperidinium,C[N+]1(CCCCC1)CC(C)C
"2-(acetyloxy)-N-ethyl-N,N-dimethylethanaminium",CC(=O)OCC[N+](C)(C)CC
"N-ethyl-2-(2-methoxyethoxy)-N,N-dimethylethanaminium",COCCOCC[N+](C)(C)CC
"N-ethyl-N,N-dimethylheptanaminium",CCCCCCC[N+](C)(C)CC
"N,N-dimethyl-N-ethyl-N-pentylammonium",CCCCC[N+](C)(C)CC
1-(methoxymethyl)-1-methylpyrrolidinium,C[N+](COC)1C(CCC1)
1-butyl-3-(6-hydroxyhexyl)-1H-imidazolium,CCCCn1cc[n+](c1)CCCCCCO
1-(6-hydroxyhexyl)imidazolium,OCCCCCC[nH+]1cc[n](c1)
1-ethyl-3-(6-hydroxyhexyl)-1H-imidazolium,OCCCCCC[n+]1cc[n](c1)CC
3-(2-(butylamino)-2-oxoethyl)-1-ethyl-1H-imidazolium,CCn1cc[n+](c1)CC(=O)NCCCC
"1-hexyl-2,3-dimethylimidazolium",Cn1cc[n+](c1C)CCCCCC
1-isobutyl-1-methylpyrrolidinium,C[N+]1(CCCC1)CC(C)(C)
1-ethyl-2-propylpyridin-1-ium,CCC[n+]1ccccc1CC
1-ethyl-2-hexylpyridin-1-ium,CCCCCC[n+]1ccccc1CC
1-ethyl-2-octylpyridin-1-ium,CCCCCCCC[n+]1ccccc1CC
1-ethyl-2-heptylpyridin-1-ium,CCCCCCC[n+]1ccccc1CC
3-cyano-1-hexylpyridinium,CCCCCC[n+]1cccc(C#N)c1
1-hexyl-4-cyanopyridinium,CCCCCC[n+]1ccc(C#N)cc1
"N,N-diethyl-2-methoxy-N-methylethan-1-aminium",[N+](CC)(CC)(C)(CCOC)
triisobutylmethylphosphonium,[P+](CC(C)C)(CC(C)C)(CC(C)C)C
tributylethylphosphonium,[P+](CCCC)(CCCC)(CCCC)(CC)
triethylheptylammonium,[P+](CC)(CC)(CC)(CCCCCCC)
triethylpentylammonium,[P+](CC)(CC)(CC)(CCCCC)
triethyloctylammonium,[P+](CC)(CC)(CC)(CCCCCCCC)
triethylhexylammonium,[P+](CC)(CC)(CC)(CCCCCC)
1-dodecyl-3-methyl-1H-imidazolium,C1=C[N+](C)=CN1CCCCCCCCCC
"1,3-dioctyl-1H-imidazol-3-ium",C1=C[N+](CCCCCCCC)=CN1CCCCCCCC
"1,3-dihexyl-1H-imidazol-3-ium",C1=C[N+](CCCCCC)=CN1CCCCCC
"1,3-diheptyl-1H-imidazol-3-ium",C1=C[N+](CCCCCCC)=CN1CCCCCCC
"1,3-dipentyl-1H-imidazol-3-ium",C1=C[N+](CCCCC)=CN1CCCCC
"1,3-dibutyl-1H-imidazolium",C1=C[N+](CCC)=CN1CCC
1-(2-azido-3-bromopropyl)-3-methyl-3H-imidazol-1-ium,C1=C[N+](CC(CBr)N=[N+]=[N-])=CN1C
