"Density_kg/m, Experimental","Density_kg/m, Prediction",Salt Name,Temperature_K,Pressure_kPa
7.01121398735,7.01594145323,1-ethyl-3-methylimidazolium tetrafluoroborate,303.11,101.0
7.11476944837,7.11203668,1-ethyl-3-methylimidazolium thiocyanate,298.327,1121.0
7.20667398336,7.19460045465,1-ethyl-3-methylimidazolium tetrafluoroborate,313.15,8000.0
7.13886699995,7.11778082592,1-ethyl-3-methylimidazolium thiocyanate,305.15,392.3
7.34213173058,7.34115245002,1-ethyl-3-methylimidazolium tetrafluoroborate,313.2,100000.0
7.08615247888,7.08703482517,1-ethyl-3-methylimidazolium tetrafluoroborate,323.15,40000.0
7.11923102543,7.12258624842,1-ethyl-3-methylimidazolium tetrafluoroborate,303.0,101.325
7.26822302116,7.28342644569,1-ethyl-3-methylimidazolium tetrafluoroborate,318.15,100.0
7.30921236569,7.31201812974,1-ethyl-3-methylimidazolium methylsulfate,308.15,101.0
7.15952515908,7.15757658877,1-ethyl-3-methylimidazolium tetrafluoroborate,313.15,100.0
7.33106030522,7.3302171135,1-ethyl-3-methylimidazolium ethyl sulfate,318.15,100.0
7.1051296384,7.10570123135,1-ethyl-3-methylimidazolium tetrafluoroborate,472.4,190000.0
7.14235298034,7.14229980363,1-ethyl-3-methylimidazolium ethyl sulfate,373.17,5226.0
7.04725631776,7.04620539674,1-ethyl-3-methylimidazolium ethyl sulfate,283.15,100.0
7.11232744471,7.11567237168,1-ethyl-3-methylimidazolium ethyl sulfate,293.15,10000.0
7.101404106,7.10398311256,1-ethyl-3-methylimidazolium ethyl sulfate,290.65,101.325
7.15796910182,7.17075177626,1-ethyl-3-methylimidazolium ethyl sulfate,363.15,101.325
7.19982769974,7.18714884816,1-ethyl-3-methylimidazolium bis[(trifluoromethyl)sulfonyl]imide,293.49,20000.0
7.3087638046,7.31201812974,1-ethyl-3-methylimidazolium ethyl sulfate,333.16,60002.0
6.96950867526,6.98087506975,1-ethyl-3-methylimidazolium methylsulfate,332.15,101.325
7.09630738553,7.09279155646,1-ethyl-3-methylimidazolium acetate,283.15,101.325
7.1310588175,7.13353320776,1-ethyl-3-methylimidazolium ethyl sulfate,318.15,101.325
7.21737006143,7.2131500998,1-ethyl-3-methylimidazolium methylsulfate,295.15,101.325
7.13409372119,7.13904996066,1-ethyl-3-methylimidazolium ethyl sulfate,283.15,30000.0
7.10889859002,7.11092690961,1-ethyl-3-methylimidazolium thiocyanate,298.15,500.0
7.32072548658,7.32370692424,1-ethyl-3-methylimidazolium ethyl sulfate,345.65,2500.0
7.1018407027,7.10161014108,1-ethyl-3-methylimidazolium ethyl sulfate,313.15,20000.0
7.3537223304,7.31147935722,1-ethyl-3-methylimidazolium bis[(trifluoromethyl)sulfonyl]imide,318.15,101.0
7.14708709049,7.14506956402,1-ethyl-3-methylimidazolium thiocyanate,303.15,101.325
7.27045205524,7.27695174626,1-ethyl-3-methylimidazolium bis[(trifluoromethyl)sulfonyl]imide,278.15,101.325
7.31455283232,7.31795019295,1-ethyl-3-methylimidazolium methylsulfate,353.15,15000.0
7.22497188154,7.21502662302,1-ethyl-3-methylimidazolium ethyl sulfate,363.15,10010.0
7.11890721744,7.12218606756,1-ethyl-3-methylimidazolium ethyl sulfate,323.15,35000.0
7.12668195175,7.10320543679,1-ethyl-3-methylimidazolium ethyl sulfate,348.15,80000.0
7.09464969762,7.09576937248,1-ethyl-3-methylimidazolium tetrafluoroborate,303.15,15000.0
7.09564464008,7.09868806449,1-ethyl-3-methylimidazolium tetrafluoroborate,413.0,110000.0
7.14842435716,7.1510663995,1-ethyl-3-methylimidazolium hexafluorophosphate,452.5,110000.0
7.10734357067,7.10982797443,1-ethyl-3-methylimidazolium ethyl sulfate,414.94,20000.0
7.31926872562,7.32078472561,1-ethyl-3-methylimidazolium bis[(trifluoromethyl)sulfonyl]imide,373.32,10000.0
7.01067281299,7.0114695755,1-ethyl-3-methylimidazolium ethyl sulfate,348.15,101.0
7.10677005872,7.10982797443,1-ethyl-3-methylimidazolium thiocyanate,325.125,18882.0
7.13065880149,7.13061100914,1-ethyl-3-methylimidazolium ethyl sulfate,313.15,101.325
7.12512217752,7.12907888136,1-ethyl-3-methylimidazolium bis[(trifluoromethyl)sulfonyl]imide,343.15,10000.0
7.15172054599,7.15398859813,1-ethyl-3-methylimidazolium tetrafluoroborate,313.15,50000.0
7.10348652269,7.10573689636,1-ethyl-3-methylimidazolium ethyl sulfate,323.15,15000.0
7.12399505398,7.12791005072,1-ethyl-3-methylimidazolium trifluoromethanesulfonate,308.15,101.325
7.1421156855,7.14401757984,1-ethyl-3-methylimidazolium thiocyanate,343.15,101.325
7.12842376986,7.13320556342,1-ethyl-3-methylimidazolium ethyl sulfate,298.15,10000.0
7.11769200281,7.12152074605,1-ethyl-3-methylimidazolium tetrafluoroborate,298.146,61191.0
7.12000773706,7.12297786824,1-ethyl-3-methylimidazolium ethyl sulfate,318.15,5000.0
7.11801620447,7.12291773417,1-ethyl-3-methylimidazolium ethyl sulfate,298.15,101.325
7.15991379536,7.15691068279,1-ethyl-3-methylimidazolium bis[(trifluoromethyl)sulfonyl]imide,342.49,101.325
7.31594334314,7.31853463267,1-ethyl-3-methylimidazolium tetrafluoroborate,293.15,101.325
7.02260067065,7.02553168406,1-ethyl-3-methylimidazolium ethyl sulfate,363.15,14990.0
7.31873846777,7.32068537086,1-ethyl-3-methylimidazolium ethyl sulfate,328.15,101.325
7.1470713473,7.12599858605,1-ethyl-3-methylimidazolium ethyl sulfate,313.15,25000.0
7.3025638069,7.3061737325,1-ethyl-3-methylimidazolium bis[(trifluoromethyl)sulfonyl]imide,352.31,10000.0
7.16216491217,7.16447290918,1-ethyl-3-methylimidazolium tetrafluoroborate,313.15,101.325
7.16394668434,7.13944069972,1-ethyl-3-methylimidazolium ethyl sulfate,313.15,101.325
7.10922565461,7.11275017305,1-ethyl-3-methylimidazolium trifluoromethanesulfonate,318.15,101.325
7.14219479004,7.11898530935,1-ethyl-3-methylimidazolium ethyl sulfate,298.15,35000.0
7.37525577801,7.34420783536,1-ethyl-3-methylimidazolium bis[(trifluoromethyl)sulfonyl]imide,318.15,101.325
7.35058039585,7.347034717,1-ethyl-3-methylimidazolium methylsulfate,298.15,30000.0
7.08723948096,7.08758368531,1-ethyl-3-methylimidazolium methylsulfate,333.15,101.325
