,"Pressure, kPa","Specific density, kg/m<SUP>3</SUP>","Temperature, K"
68,100.0,1277.6,298.15
69,100.0,1269.9,308.15
70,100.0,1262.1,318.15
71,100.0,1254.6,328.15
72,101.0,1272.8,303.15
73,101.0,1265.2,313.15
74,101.0,1257.7,323.15
75,101.0,1250.3,333.15
76,101.325,1283.9,293.15
77,101.325,1279.9,298.15
78,101.325,1276.3,303.15
79,101.325,1272.1,308.15
80,101.325,1278.7,303.2
81,101.325,1275.0,308.2
82,101.325,1271.4,313.2
83,101.325,1267.8,318.2
84,101.325,1264.2,323.2
85,101.0,1305.3,278.15
86,101.0,1297.6,288.15
87,101.0,1290.0,298.15
88,101.0,1282.4,308.15
89,101.0,1274.9,318.15
90,101.325,1290.0,285.0
91,101.325,1286.0,290.0
92,101.325,1282.0,295.0
93,101.325,1279.0,300.0
94,101.325,1275.0,305.0
95,101.325,1288.8,298.15
96,101.325,1285.0,303.15
97,101.325,1277.5,313.15
98,101.325,1269.9,323.15
99,101.325,1262.4,333.15
100,101.325,1283.0,293.0
101,101.325,1279.0,298.0
102,101.325,1275.0,303.0
103,101.325,1271.0,308.0
104,101.325,1266.0,313.0
105,101.0,1284.3,293.1
106,101.0,1276.5,303.11
107,101.0,1269.2,313.15
108,101.0,1261.8,323.14
109,101.0,1254.6,333.23
110,101.325,1283.3,293.15
111,101.325,1275.7,303.15
112,101.325,1268.1,313.15
113,101.325,1260.6,323.15
114,101.325,1253.2,333.15
115,101.325,1245.8,343.15
116,101.325,1293.8,278.1
117,101.325,1288.0,288.15
118,101.325,1280.1,298.15
119,101.325,1272.5,308.15
120,101.325,1265.1,318.15
121,101.325,1256.9,328.15
122,101.325,1250.2,338.15
123,101.325,1248.0,293.15
124,101.325,1240.0,303.15
125,101.325,1233.0,313.15
126,101.325,1226.0,323.15
127,101.325,1218.0,333.15
128,101.325,1210.0,343.15
129,101.325,1205.0,353.15
130,101.325,1197.0,363.15
131,101.0,1290.6,293.15
132,101.0,1286.8,298.15
133,101.0,1283.0,303.15
134,101.0,1275.5,313.15
135,101.0,1268.0,323.15
136,101.0,1260.5,333.15
137,101.0,1253.2,343.15
138,101.0,1245.9,353.15
139,101.0,1290.6,293.15
140,101.0,1286.8,298.15
141,101.0,1283.0,303.15
142,101.0,1275.5,313.15
143,101.0,1268.0,323.15
